"app_num"	"name"	"triggerIDs"	"actionIDs"	"id"	"installs_count"	"author"
"406"	"Receive a notification when batteries are running low"	"['289']"	"['37']"	"ZCSqGzHF"	"2137"	"Nuki Smart Lock"
"407"	"Receive a notification when a specific person arrives at home"	"['290']"	"['37']"	"VeuK6LsN"	"834"	"Nuki Smart Lock"
"408"	"Turn on your Hue lights when you arrive home"	"['290']"	"['59']"	"A7isx4kY"	"371"	"Nuki Smart Lock"
"409"	"Turn off your Hue lights when you leave home"	"['291']"	"['24']"	"rWjr93LF"	"414"	"Nuki Smart Lock"
"410"	"TÜR AUF | DEUTSCH | Öffne dein Nuki Schloss per Knopfdruck"	"['29']"	"['292']"	"V8b2iP5W"	"541"	"tomtel"
"412"	"Get Smart Lock calibration warnings via email"	"['293']"	"['45']"	"njk7GY84"	"214"	"Nuki Smart Lock"
"413"	"Make sure your door is locked every day at a specific time"	"['23']"	"['294']"	"QFndwpre"	"812"	"Nuki Smart Lock"
"414"	"TÜR ZU | DEUTSCH | Schliesse deine NUKI Tür per Knopfdruck"	"['29']"	"['294']"	"zZBemNCt"	"144"	"tomtel"
"415"	"Pour verrouiller une serrure Nuki avec GA"	"['27']"	"['294']"	"N7U3Np4S"	"18"	"k1200rs"
"416"	"Stop Sonos when you leave home"	"['291']"	"['209']"	"rDGJ9KqF"	"133"	"Nuki Smart Lock"
"417"	"DEUTSCH | Wird ein Bereich betreten: Geht Bluetooth + Wlan an + dein NUKI schliesst die Tür auf!"	"['34']"	"['295', '296', '297', '37']"	"vFKpfGJX"	"68"	"tomtel"
"418"	"Locking several NUKI smart locks via Google Assistant"	"['27']"	"['298', '294']"	"FjAS47J8"	"94"	"mxrtxn"
"419"	"Sonos + Nuki"	"['101']"	"['300', '2']"	"WGB7Kd5Y"	"48"	"fabianschoeni1"
"420"	"Arm smanos with your Google Assistant"	"['27']"	"['301']"	"EPhm7Gur"	"42"	"smanos connect"
"422"	"Disarm smanos when you are about to arrive at home"	"['34']"	"['302']"	"nEgTajdk"	"61"	"smanos connect"
"423"	"Disarm Home8"	"['29']"	"['303']"	"hnzTeiSC"	"102"	"mivatek"
"424"	"Close the garage door when Home8 is armed"	"['304']"	"['305']"	"qMhA8UEL"	"0"	"beam"
"425"	"Disarm Home8 when arrive home with iPhone"	"['34']"	"['303']"	"JpnhSbyd"	"75"	"Home8"
"427"	"If armed in stay mode, then use Wink shortcut"	"['308']"	"['309']"	"EFxLaTb4"	"0"	"Home8"
"429"	"If new Ring is detected, then turn on Home8 switch"	"['137']"	"['311']"	"PK3xbgWd"	"0"	"Home8"
"430"	"Make your Hue Lights colour loop with this button"	"['29']"	"['313']"	"Lm4CyEYZ"	"36812"	"Optus Smart Living"
"431"	"Turn your Hue Lights on when you arrive home"	"['34']"	"['59']"	"ni8WhGLf"	"168"	"Optus Smart Living"
"432"	"Turn your Hue lights on at sunset"	"['44']"	"['59']"	"bPkMYaFi"	"116"	"Optus Smart Living"
"434"	"Dim your Hue lights with this button"	"['29']"	"['315']"	"X5QWfGEB"	"3793"	"Optus Smart Living"
"435"	"OK Google, it's Party Time"	"['27']"	"['313']"	"Z5CYE67M"	"15086"	"Optus Smart Living"
"436"	"OK Google, it's bed time"	"['27']"	"['315']"	"FUzG9qBW"	"100"	"Optus Smart Living"
"437"	"OK Google, it's Movie Time"	"['27']"	"['315']"	"DGiLSZwj"	"1030"	"Optus Smart Living"
"438"	"When Ring detects someone at the front door blink your Hue lights"	"['137']"	"['63']"	"DkivTL3e"	"63"	"Optus Smart Living"
"439"	"Turn your Hue Lights on when Ring detects motion"	"['316']"	"['59']"	"zuTmd3kF"	"561"	"Optus Smart Living"
"444"	"Send an SMS from your phone when your TomTom SatNav is nearly home"	"['321']"	"['279']"	"wzSYmAXq"	"128"	"TomTom SatNav"
"448"	"When you leave the office, send an SMS"	"['323']"	"['279']"	"MuXgvVUb"	"19"	"TomTom SatNav"
"449"	"Turn off my Philips Hue lights when I leave home"	"['321']"	"['24']"	"g9TNA4Wp"	"11"	"TomTom SatNav"
"450"	"Prepare Tado hot water when you're reaching home"	"['321']"	"['324']"	"MJSFiWTy"	"0"	"TomTom SatNav"
"451"	"Turn on my Philips Hue lights when I am nearly home"	"['321']"	"['315']"	"R29mFzN7"	"22"	"TomTom SatNav"
"454"	"Open your garage door using Garadget when coming home"	"['321']"	"['327']"	"z5kNyxuP"	"7"	"TomTom SatNav"
"455"	"Custom Google Home Response"	"['27']"	"['37']"	"txdSvcGV"	"56515"	"grahamwalters"
"458"	"Google home play music"	"['27']"	"['112']"	"vmaGALk6"	"73306"	"2twixm2"
"459"	"Google Home Find My Phone"	"['27']"	"['329']"	"NHmALWp3"	"260623"	"sss90"
"460"	"Create your scene on command"	"['27']"	"['330']"	"V5NB94ry"	"2102"	"tyleration24x7"
"462"	"Execute order 66"	"['27']"	"['332']"	"iGqCAP4M"	"412"	"augustwasilowski"
"463"	"Android Send SMS"	"['27']"	"['279']"	"QEAn7i6Q"	"97"	"courtesypatrol"
"465"	"Tell Google Assistant to set the scene"	"['27']"	"['77']"	"x2QcmYfC"	"21590"	"Philips Hue"
"466"	"Google Assistant start Harmony Activity"	"['27']"	"['333']"	"G2gPd8cX"	"4287"	"kknopper"
"468"	"Fermer les volets"	"['27']"	"['335']"	"kpjrt5bT"	"1105"	"snowfree52"
"469"	"Silent Phone"	"['27']"	"['197']"	"U8vKjycC"	"17320"	"ishtiyaq"
"470"	"Custom Response from Google Home!"	"['27']"	"['45']"	"bVwFeq3B"	"49426"	"jayreddin"
"472"	"Turn on my Samsung TV"	"['27']"	"['337']"	"eRrj96vK"	"7024"	"lascottla"
"475"	"Turn Off TV"	"['27']"	"['161']"	"CpfFTBXP"	"743"	"dipasqualetony"
"477"	"Arm Blink with Google Home"	"['27']"	"['342']"	"kd6iDNYV"	"4120"	"Blink"
"478"	"Google turn on my socket"	"['27']"	"['254']"	"p5rFUgLz"	"2954"	"connorcaunt1"
"480"	"Disco Party for hue lights"	"['27']"	"['63', '313']"	"nQnet4ab"	"17253"	"cheesey1423"
"482"	"Tell Google Assistant to Close Garage via MyQ for LiftMaster"	"['27']"	"['4']"	"earCpUQb"	"3423"	"awadallah"
"483"	"Floor light off"	"['27']"	"['255']"	"V8r9Axk6"	"387"	"davidbestford"
"486"	"Turn heating off"	"['29']"	"['171']"	"pDcz7gVi"	"1200"	"tadoº Heating"
"487"	"If humidity is too high, send me a notification"	"['343']"	"['37']"	"ydyCzJ9h"	"1814"	"tadoº Heating"
"488"	"Boost hot water to ___º"	"['29']"	"['324']"	"U7UYXpL5"	"103"	"tado° Hot Water"
"489"	"Return to tadoº automatic control"	"['29']"	"['344']"	"tN9hUwbW"	"181"	"tado° Hot Water"
"490"	"Turn hot water off"	"['29']"	"['345']"	"yfQN9Vny"	"73"	"tado° Hot Water"
"491"	"Ask the Google Assistant to prepare a hot shower"	"['27']"	"['324']"	"Lc2LPrVG"	"43"	"tado° Hot Water"
"492"	"Press and hold your Pebblebee Stone to start Musaic and dim your Hue lights"	"['346']"	"['347', '315']"	"HfGkFCBe"	"0"	"Pebblebee"
"496"	"Tell Google Home to turn on your AC"	"['27']"	"['349']"	"KE8NqdHB"	"229"	"Nature Remo"
"497"	"Tell Google Home to turn off your air conditioner"	"['27']"	"['350']"	"B7nyHUWL"	"211"	"Nature Remo"
"498"	"「OKグーグル、ルーモス」というと部屋の灯りがつく"	"['27']"	"['351']"	"XN6WLas5"	"63"	"voicehackerjp"
"499"	"Get notification when indoor temperature gets too cold"	"['352']"	"['37']"	"esJTerC5"	"79"	"EasyControl of Bosch"
"500"	"Get a notification from EasyControl of Bosch"	"['353']"	"['37']"	"wxFjMT7R"	"98"	"EasyControl of Bosch"
"501"	"Notification from IFTTT when indoor humidity is too high."	"['354']"	"['37']"	"gAFKYD6U"	"40"	"EasyControl of Bosch"
"506"	"Get a notification from EasyControl of Bosch by email"	"['353']"	"['45']"	"NPtfQnVC"	"24"	"EasyControl of Bosch"
"507"	"Notification from IFTTT on high room temperature"	"['358']"	"['37']"	"F9z2Sx8r"	"35"	"EasyControl of Bosch"
"508"	"Get a notification by email when indoor humidity is too high"	"['354']"	"['45']"	"WsjPmZB4"	"5"	"EasyControl of Bosch"
"509"	"Switch on my Hue lights when I come home"	"['359']"	"['59']"	"QhjsY7pF"	"2"	"EasyControl of Bosch"
"510"	"Switch off my Hue lights when I leave home"	"['357']"	"['24']"	"JgdF3BNL"	"0"	"EasyControl of Bosch"
"511"	"If humidity is too high, turn on dry mode"	"['360']"	"['361']"	"Me3jDiA5"	"69"	"tadoº Air Conditioning"
"512"	"Turn air conditioning off"	"['29']"	"['223']"	"HVqhUv6p"	"68"	"tadoº Air Conditioning"
"513"	"Return to tado° Auto mode"	"['29']"	"['362']"	"xiwvD4Q5"	"96"	"tadoº Air Conditioning"
"514"	"Turn ON your Tado A/C"	"['363']"	"['364']"	"LdvwUuzG"	"1"	"Anyware Services"
"515"	"Start your AC's auto mode"	"['29']"	"['364']"	"SQ6ZAzP2"	"16"	"tadoº Air Conditioning"
"516"	"Colorful inside temperature"	"['365']"	"['16', '37']"	"HDp6hagd"	"7"	"tadoº Air Conditioning"
"517"	"Boost air conditioning to ___ °"	"['29']"	"['366']"	"fDJE2dag"	"43"	"tadoº Air Conditioning"
"518"	"Keep the heat outside when it gets too hot"	"['367']"	"['368']"	"VUxuEXnF"	"0"	"tadoº Air Conditioning"
"519"	"If smanos is set to away mode, then turn Tado AC off"	"['369']"	"['223']"	"gqTJ8CVd"	"0"	"smanos connect"
"520"	"If tado° switches to Away mode, then send a notification"	"['370']"	"['37']"	"GxiNwKDQ"	"60"	"tadoº Air Conditioning"
"521"	"If tado° switches to Home mode, then send a notification"	"['371']"	"['37']"	"FL9Esty6"	"37"	"tadoº Air Conditioning"
"523"	"When I get home at night, the house warms up."	"['34']"	"['232', '227']"	"rjx78GnU"	"3"	"rattoscimmia"
"524"	"Return Tado Cooling back to scheduled when Tado heating switches back to Home Mode"	"['373']"	"['362']"	"ek2PdEn7"	"1"	"fuzzysb"
"525"	"Launch a TaHoma scenario when my phone gets connected to my house's Wi-Fi."	"['287']"	"['335']"	"KbVSUYXW"	"415"	"TaHoma"
"526"	"Launch a TaHoma scenario when it starts raining."	"['374']"	"['335']"	"JLUQS3wB"	"867"	"TaHoma"
"527"	"Directly launch a TaHoma scenario when activating an IFTTT widget on your phone."	"['29']"	"['335']"	"W7isMZ2v"	"1178"	"TaHoma"
"528"	"Launch a TaHoma scenario when I arrive home thanks to my phone's location."	"['34']"	"['335']"	"WbHzdm8q"	"1030"	"TaHoma"
"529"	"Run your FIBARO scene when you arrive at a chosen destination"	"['34']"	"['375']"	"DSgURDP4"	"312"	"FIBARO"
"530"	"Receive an SMS when smoke alarm occurs"	"['376']"	"['7']"	"aA2z8fei"	"140"	"FIBARO"
"531"	"Receive an SMS when CO alarm occurs"	"['377']"	"['7']"	"AnrgaA7x"	"18"	"FIBARO"
"532"	"Turn on Philips Hue when motion is detected"	"['156']"	"['59']"	"UeCvUaty"	"6"	"FIBARO"
"533"	"Get an email when device battery level is low"	"['378']"	"['45']"	"qVxYhUkE"	"169"	"FIBARO"
"535"	"Turn on your coffee machine with your Fibaro Button"	"['380']"	"['129']"	"vAPHnzR7"	"0"	"Home Connect Coffee Machine"
"538"	"Run a My Leviton Activity when you leave home"	"['41']"	"['382']"	"pHUtk84V"	"187"	"My Leviton"
"539"	"Arrive Home"	"['34']"	"['382', '383']"	"rvHyPN5M"	"8"	"g3kelly"
"540"	"iHome - Begin Leviton Scene"	"['384']"	"['385']"	"HtqE4PFm"	"0"	"iHome Enhance"
"541"	"iHome - Turn ON Leviton Room"	"['384']"	"['386']"	"jsuV7cXD"	"3"	"iHome Enhance"
"542"	"iHome - Turn OFF Leviton Room"	"['384']"	"['387']"	"mpH5FTEe"	"2"	"iHome Enhance"
"543"	"Activate Leviton When Zone Turns On"	"['388']"	"['386']"	"QYFw95fz"	"4"	"Mitsubishi Electric kumo cloud"
"544"	"Deactivate Leviton When Zone Turns Off"	"['389']"	"['387']"	"iPWfxNT7"	"3"	"Mitsubishi Electric kumo cloud"
"545"	"Run a My Leviton Scene when you get home"	"['34']"	"['385']"	"wKhayYPG"	"215"	"My Leviton"
"546"	"Run a My Leviton Activity when your Nest is set to away"	"['60']"	"['382']"	"eiMnBDgS"	"32"	"My Leviton"
"547"	"Start Movie Time Activity when a My Leviton Scene is run"	"['390']"	"['333']"	"chd3xSeH"	"5"	"My Leviton"
"549"	"When your Logitech POP is pressed run a My Leviton Activity"	"['180']"	"['382']"	"KMtPTCsr"	"1"	"My Leviton"
"551"	"Heat Cable Turns ON With Temperature"	"['26']"	"['386']"	"r3CcUxLw"	"2"	"wasatchheatcable"
"552"	"Heat Cable Turns OFF With Temperature"	"['8']"	"['387']"	"nuvZzmfF"	"3"	"wasatchheatcable"
"554"	"When your Domino's pizza is out for delivery turn on a My Leviton Light and run a My Leviton Scene"	"['391']"	"['385']"	"ria6pxzf"	"1"	"My Leviton"
"556"	"Turn on a device when you're coming home"	"['34']"	"['394']"	"PmJv4n5T"	"447"	"Telldus Live!"
"557"	"When I plug in my phone to the charger at night, turn off all lights in the house"	"['198']"	"['395']"	"sKaEP3Zc"	"223"	"Telldus Live!"
"558"	"Turn on Smart Life device at sunset"	"['44']"	"['254']"	"paPN89bd"	"9859"	"sean1453995397"
"559"	"Smartthings To Smart Life Lights/Outlets (Turn On)"	"['33']"	"['254']"	"zr5HiefS"	"1445"	"mshenoda"
"560"	"Smartthings To Smart Life Lights/Outlets (Turn Off)"	"['35']"	"['255']"	"TwQVj9iB"	"1459"	"mshenoda"
